timestamp,blink_rate,blink_duration_ms,eye_temp_celsius,screen_distance_cm,ambient_lux,room_humidity_pct,head_tilt_degrees,strain_level,strain_score
2026-05-14 11:38:28,15,180,35.1,45,297,49,6,Safe,0
2026-05-14 11:38:29,15,194,35.1,44,297,49,4,Safe,0
2026-05-14 11:38:29,15,197,34.8,43,306,49,3,Safe,0
2026-05-14 11:38:30,17,220,35.1,46,299,51,7,Safe,0
2026-05-14 11:38:30,16,193,35.2,43,305,51,6,Safe,0
2026-05-14 11:38:31,16,219,34.9,44,296,51,6,Safe,0
2026-05-14 11:38:31,17,212,35.2,44,294,51,5,Safe,0
2026-05-14 11:38:32,17,203,34.9,46,302,49,7,Safe,0
2026-05-14 11:38:32,16,189,35.0,43,306,51,4,Safe,0
2026-05-14 11:38:33,16,205,35.2,43,292,49,6,Safe,0
2026-05-14 11:38:33,16,189,34.9,45,301,50,7,Safe,0
2026-05-14 11:38:34,16,200,35.1,46,303,49,7,Safe,0
2026-05-14 11:38:34,17,206,34.8,45,301,51,7,Safe,0
2026-05-14 11:38:35,16,217,34.9,46,301,49,6,Safe,0
2026-05-14 11:38:35,16,219,35.0,45,300,51,3,Safe,0
2026-05-14 11:38:36,15,192,35.0,43,291,49,4,Safe,0
2026-05-14 11:38:36,16,200,35.1,45,305,51,4,Safe,0
2026-05-14 11:38:37,15,208,35.0,47,310,50,6,Safe,0
2026-05-14 11:38:37,15,184,34.9,43,292,51,6,Safe,0
2026-05-14 11:38:38,16,184,35.1,45,308,50,4,Safe,0
2026-05-14 11:38:38,16,191,35.0,46,290,50,6,Safe,0
2026-05-14 11:38:39,15,217,35.2,46,290,51,7,Safe,0
2026-05-14 11:38:39,16,201,35.1,46,310,51,7,Safe,0
2026-05-14 11:38:40,15,214,35.0,45,293,51,3,Safe,0
2026-05-14 11:38:40,17,207,35.2,47,306,49,7,Safe,0
2026-05-14 11:38:41,17,197,35.0,44,293,49,5,Safe,0
2026-05-14 11:38:41,16,215,34.9,46,309,51,4,Safe,0
2026-05-14 11:38:42,15,196,35.2,46,291,51,7,Safe,0
2026-05-14 11:38:43,17,216,35.0,45,295,49,4,Safe,0
2026-05-14 11:38:43,15,195,35.1,44,294,51,3,Safe,0
2026-05-14 11:38:44,15,217,34.9,47,296,49,5,Safe,0
2026-05-14 11:38:44,17,216,35.0,44,296,49,4,Safe,0
2026-05-14 11:38:45,17,195,35.0,43,309,49,5,Safe,0
2026-05-14 11:38:45,15,184,35.1,46,307,50,6,Safe,0
2026-05-14 11:38:46,15,207,34.8,47,294,51,7,Safe,0
2026-05-14 11:38:46,16,197,35.0,47,303,51,5,Safe,0
2026-05-14 11:38:47,15,207,35.1,45,309,49,4,Safe,0
2026-05-14 11:38:47,15,198,35.1,45,300,51,3,Safe,0
2026-05-14 11:38:48,17,200,35.1,44,310,51,5,Safe,0
2026-05-14 11:38:48,17,204,34.8,45,308,50,5,Safe,0
2026-05-14 11:38:49,15,206,35.1,44,291,51,3,Safe,0
2026-05-14 11:38:49,16,220,35.1,44,297,51,6,Safe,0
2026-05-14 11:38:50,16,206,35.0,43,294,50,7,Safe,0
2026-05-14 11:38:50,16,191,35.0,47,306,49,7,Safe,0
2026-05-14 11:38:51,16,193,35.0,44,294,51,5,Safe,0
2026-05-14 11:38:51,17,180,35.0,43,303,49,6,Safe,0
2026-05-14 11:38:52,15,205,35.1,45,297,50,7,Safe,0
2026-05-14 11:38:52,17,204,34.8,43,294,51,5,Safe,0
2026-05-14 11:38:53,15,210,35.1,46,293,49,7,Safe,0
2026-05-14 11:38:53,15,181,35.0,47,310,49,4,Safe,0
2026-05-14 11:38:54,15,214,35.0,47,310,51,7,Safe,0
2026-05-14 11:38:54,16,193,35.0,47,292,49,4,Safe,0
2026-05-14 11:38:55,15,214,35.2,47,302,49,7,Safe,0
2026-05-14 11:38:55,16,189,35.0,44,299,49,5,Safe,0
2026-05-14 11:38:56,16,207,34.9,45,301,49,4,Safe,0
2026-05-14 11:38:56,17,218,34.8,43,301,50,5,Safe,0
2026-05-14 11:38:57,17,208,35.0,45,307,50,5,Safe,0
